ACC,11.9738,7625,1157,2418,.478,879,1515,.580,278,903,.308,551,803,.686,495,1072,1567,606,346,257,488,595,3143,82.7,Summit,-2.0735,7050,874,1926,.454,542,1016,.533,332,910,.365,476,613,.777,229,876,1105,402,160,87,368,523,2556,73.0,0
A-10,2.8733,6650,820,1872,.438,585,1101,.531,235,771,.305,469,669,.701,358,850,1208,450,263,148,458,650,2344,71.0,AAC,5.5833,6625,819,1763,.465,590,1135,.520,229,628,.365,518,798,.649,315,900,1215,439,189,150,393,555,2385,72.3,1
A-Sun,-3.8836,7200,963,1977,.487,641,1104,.581,322,873,.369,406,524,.775,270,904,1174,532,223,96,395,543,2654,73.7,SEC,9.0734,6850,936,1981,.472,644,1207,.534,292,774,.377,464,647,.717,393,822,1215,479,274,172,451,586,2628,77.3,0
A-10,2.2336,7200,855,2051,.417,650,1376,.472,205,675,.304,484,809,.598,491,937,1428,460,254,145,464,634,2399,66.6,ACC,7.7935,7050,893,1899,.470,566,1068,.530,327,831,.394,461,606,.761,310,832,1142,531,236,78,392,532,2574,73.5,1
Big Ten,10.1034,6800,858,1909,.449,611,1202,.508,247,707,.349,466,627,.743,378,957,1335,447,148,163,437,526,2429,71.4,OVC,-2.6033,6650,1042,2094,.498,699,1172,.596,343,922,.372,441,598,.737,286,989,1275,645,220,125,376,509,2868,86.9,0
Ivy,-1.2330,6075,893,1812,.493,663,1178,.563,230,634,.363,411,557,.738,259,898,1157,503,177,131,392,510,2427,80.9,SEC,9.1535,7175,988,2162,.457,752,1422,.529,236,740,.319,603,802,.752,460,895,1355,452,308,148,452,634,2815,80.4,1
Big Ten,11.2736,7225,887,2039,.435,696,1436,.485,191,603,.317,578,848,.682,402,912,1314,521,175,140,418,578,2543,70.6,ACC,11.0434,6900,854,1967,.434,560,1107,.506,294,860,.342,534,687,.777,345,952,1297,458,149,99,412,591,2536,74.6,0
MVC,-0.9035,7025,812,1874,.433,572,1221,.468,240,653,.368,465,672,.692,313,882,1195,423,186,131,440,617,2329,66.5,Big Ten,12.3439,7850,1071,2230,.480,752,1386,.543,319,844,.378,564,749,.753,414,1165,1579,716,201,205,493,647,3025,77.6,1
ACC,11.9738,7625,1157,2418,.478,879,1515,.580,278,903,.308,551,803,.686,495,1072,1567,606,346,257,488,595,3143,82.7,AAC,5.5833,6625,819,1763,.465,590,1135,.520,229,628,.365,518,798,.649,315,900,1215,439,189,150,393,555,2385,72.3,0
A-Sun,-3.8836,7200,963,1977,.487,641,1104,.581,322,873,.369,406,524,.775,270,904,1174,532,223,96,395,543,2654,73.7,ACC,7.7935,7050,893,1899,.470,566,1068,.530,327,831,.394,461,606,.761,310,832,1142,531,236,78,392,532,2574,73.5,1
