Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team A,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B,Team B
Strength of Schedule,Field Goals,Field Goal Attempts,Field Goal Percentage,2 Point Field Goals,2 Point Field Goal Attempts,2 Point Field Goal Percentage, 3 Point Field Goals, 3 Point Field Goals Attempts, 3 Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Points per Game,Strength of Schedule,Field Goals,Field Goal Attempts,Field Goal Percentage,2 Point Field Goals,2 Point Field Goal Attempts,2 Point Field Goal Percentage, 3 Point Field Goals, 3 Point Field Goals Attempts, 3 Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Points per Game
11.9738,1157,2418,0.478,879,1515,0.58,278,903,0.308,551,803,0.686,1567,606,346,257,488,595,3143,82.7,-2.0735,874,1926,0.454,542,1016,0.533,332,910,0.365,476,613,0.777,1105,402,160,87,368,523,2556,73
2.8733,820,1872,0.438,585,1101,0.531,235,771,0.305,469,669,0.701,1208,450,263,148,458,650,2344,71,5.5833,819,1763,0.465,590,1135,0.52,229,628,0.365,518,798,0.649,1215,439,189,150,393,555,2385,72.3
-3.8836,963,1977,0.487,641,1104,0.581,322,873,0.369,406,524,0.775,1174,532,223,96,395,543,2654,73.7,9.0734,936,1981,0.472,644,1207,0.534,292,774,0.377,464,647,0.717,1215,479,274,172,451,586,2628,77.3
2.2336,855,2051,0.417,650,1376,0.472,205,675,0.304,484,809,0.598,1428,460,254,145,464,634,2399,66.6,7.7935,893,1899,0.47,566,1068,0.53,327,831,0.394,461,606,0.761,1142,531,236,78,392,532,2574,73.5
10.1034,858,1909,0.449,611,1202,0.508,247,707,0.349,466,627,0.743,1335,447,148,163,437,526,2429,71.4,-2.6033,1042,2094,0.498,699,1172,0.596,343,922,0.372,441,598,0.737,1275,645,220,125,376,509,2868,86.9
-1.233,893,1812,0.493,663,1178,0.563,230,634,0.363,411,557,0.738,1157,503,177,131,392,510,2427,80.9,9.1535,988,2162,0.457,752,1422,0.529,236,740,0.319,603,802,0.752,1355,452,308,148,452,634,2815,80.4
11.2736,887,2039,0.435,696,1436,0.485,191,603,0.317,578,848,0.682,1314,521,175,140,418,578,2543,70.6,11.0434,854,1967,0.434,560,1107,0.506,294,860,0.342,534,687,0.777,1297,458,149,99,412,591,2536,74.6
-0.9035,812,1874,0.433,572,1221,0.468,240,653,0.368,465,672,0.692,1195,423,186,131,440,617,2329,66.5,12.3439,1071,2230,0.48,752,1386,0.543,319,844,0.378,564,749,0.753,1579,716,201,205,493,647,3025,77.6
11.9738,1157,2418,0.478,879,1515,0.58,278,903,0.308,551,803,0.686,1567,606,346,257,488,595,3143,82.7,5.5833,819,1763,0.465,590,1135,0.52,229,628,0.365,518,798,0.649,1215,439,189,150,393,555,2385,72.3
-3.8836,963,1977,0.487,641,1104,0.581,322,873,0.369,406,524,0.775,1174,532,223,96,395,543,2654,73.7,7.7935,893,1899,0.47,566,1068,0.53,327,831,0.394,461,606,0.761,1142,531,236,78,392,532,2574,73.5
9.1535,988,2162,0.457,752,1422,0.529,236,740,0.319,603,802,0.752,1355,452,308,148,452,634,2815,80.4,10.1034,858,1909,0.449,611,1202,0.508,247,707,0.349,466,627,0.743,1335,447,148,163,437,526,2429,71.4
11.2736,887,2039,0.435,696,1436,0.485,191,603,0.317,578,848,0.682,1314,521,175,140,418,578,2543,70.6,12.3439,1071,2230,0.48,752,1386,0.543,319,844,0.378,564,749,0.753,1579,716,201,205,493,647,3025,77.6
11.9738,1157,2418,0.478,879,1515,0.58,278,903,0.308,551,803,0.686,1567,606,346,257,488,595,3143,82.7,7.7935,893,1899,0.47,566,1068,0.53,327,831,0.394,461,606,0.761,1142,531,236,78,392,532,2574,73.5
9.1535,988,2162,0.457,752,1422,0.529,236,740,0.319,603,802,0.752,1355,452,308,148,452,634,2815,80.4,12.3439,1071,2230,0.48,752,1386,0.543,319,844,0.378,564,749,0.753,1579,716,201,205,493,647,3025,77.6
12.3439,1071,2230,0.48,752,1386,0.543,319,844,0.378,564,749,0.753,1579,716,201,205,493,647,3025,77.6,11.9738,1157,2418,0.478,879,1515,0.58,278,903,0.308,551,803,0.686,1567,606,346,257,488,595,3143,82.7
-7.2235,921,1939,0.475,652,1267,0.515,269,672,0.4,509,702,0.725,1155,486,261,132,477,578,2620,74.9,5.0137,1177,2239,0.526,890,1449,0.614,287,790,0.363,602,791,0.761,1443,668,278,204,394,603,3243,87.6
9.2634,869,1966,0.442,595,1163,0.512,274,803,0.341,430,635,0.677,1280,473,209,159,446,636,2442,71.8,10.0934,808,1906,0.424,534,1083,0.493,274,823,0.333,480,701,0.685,1174,408,278,162,423,590,2370,69.7
6.9634,893,1969,0.454,574,1147,0.5,319,822,0.388,524,692,0.757,1291,456,168,146,467,635,2629,77.3,-3.1133,988,2007,0.492,730,1276,0.572,258,731,0.353,493,674,0.731,1247,591,249,149,401,527,2727,82.6
10.2637,960,2171,0.442,688,1352,0.509,272,819,0.332,579,778,0.744,1391,475,266,161,492,705,2771,74.9,-4.1834,864,1887,0.458,591,1126,0.525,273,761,0.359,507,678,0.748,1194,399,188,136,377,568,2508,73.8
6.0434,899,2012,0.447,659,1298,0.508,240,714,0.336,600,882,0.68,1351,459,213,109,466,675,2638,77.6,2.6236,1083,2344,0.462,739,1322,0.559,344,1022,0.337,527,767,0.687,1470,599,263,140,433,659,3037,84.4
9.5338,990,2110,0.469,713,1351,0.528,277,759,0.365,508,694,0.732,1292,498,275,186,457,663,2765,72.8,-2.3935,979,2048,0.478,673,1203,0.559,306,845,0.362,483,725,0.666,1298,592,218,139,441,664,2747,78.5
2.6834,924,1999,0.462,627,1144,0.548,297,855,0.347,578,816,0.708,1274,498,211,134,352,584,2723,80.1,11.2236,857,2015,0.425,566,1143,0.495,291,872,0.334,435,603,0.721,1201,437,257,131,420,614,2440,67.8
